Section,BAT ID,Object,Redshift,D,Opt. class,Nuc. morph.,F_nu(N-band),F_nu(Q-band),d_unr,R_AS,R_tot
,,,,(Mpc),,,(mJy),(mJy),(pc),,
\ref{app:1H0419-577},31,1H 0419-577,0.1040,499.0,1.5,-,62,,712,,0.762
\ref{app:1RXSJ112716-6+190914},78,1RXS J112716.6,0.1055,512.0,1.8,?,41,,802,,
\ref{app:2MASXJ03565655-4041453},28,2MASX J03565655,0.0748,351.0,1.9,?,31,,541,,
\ref{app:2MASXJ09180027+0425066},64,2MASX J09180027,0.1564,781.0,2,?,18,,965,,
\ref{app:3C029},,3C 29,0.0450,202.0,L,?,3,,371,,
\ref{app:3C033},,3C 33,0.0597,273.0,2,o,35,,839,0.82,
\ref{app:3C078},,3C 78,0.0287,127.0,1,?,12,,241,,0.122
\ref{app:3C093},,3C 93,0.3571,1967.0,1,?,3,,2135,,
\ref{app:3C098},,3C 98,0.0305,137.0,2,?,25,,304,1.19,1.258
\ref{app:3C105},29,3C 105,0.0890,421.0,2,?,10,,593,1.01,
\ref{app:3C120},32,3C 120,0.0330,150.0,1.5,?,266,,200,0.88,0.619
\ref{app:3C135},,3C 135,0.1274,620.0,2,?,11,,881,,
\ref{app:3C227},,3C 227,0.0858,414.0,1.5,-,32,,595,1.04,
\ref{app:3C264},,3C 264,0.0217,103.0,2:	*,?,4,,191,0.34,0.039
\ref{app:3C273},,3C 273,0.1583,792.0,1,-,289,,1095,0.90,0.528
\ref{app:3C285},,3C 285,0.0794,378.0,2,?,6,,626,0.34,0.062
\ref{app:3C293},,3C 293,0.0450,211.0,L,?,5,,373,0.23,0.201
\ref{app:3C305},,3C 305,0.0416,192.0,2,?,4,,329,0.19,0.200
\ref{app:3C317},,3C 317,0.0345,160.0,2/L,?,3,,310,,0.033
\ref{app:3C321},,3C 321,0.0961,460.0,2,o,70,,782,0.64,0.822
\ref{app:3C327},,3C 327,0.1048,505.0,1,o,71,,1114,0.89,0.832
\ref{app:3C353},,3C 353,0.0304,138.0,2/L,?,8,,292,0.84,
\ref{app:3C382},125,3C 382,0.0579,267.0,1,-,100,,485,1.04,
\ref{app:3C390-3},127,3C 390.3,0.0561,259.0,1.5,o,144,,433,0.73,
\ref{app:3C403},,3C 403,0.0590,271.0,2,?,94,,485,0.87,0.805
\ref{app:3C424},,3C 424,0.1270,613.0,2,?,2,,982,,
\ref{app:3C445},,3C 445,0.0559,254.0,1.5,?,180,,357,1.04,0.866
\ref{app:3C449},,3C 449,0.0171,72.4,L,?,12,,242,0.60,0.334
\ref{app:3C452},149,3C 452,0.0811,378.0,2,?,42,,1039,1.40,
\ref{app:3C459},,3C 459,0.2201,1125.0,Cp,?,16,,1999,,0.147
\ref{app:4C+73-08},,4C +73.08,0.0581,271.0,2,?,22,,421,,
\ref{app:Ark120},38,Ark 120,0.0327,149.0,1,-,247,,200,0.91,0.773
\ref{app:CenA},104,Cen A,0.0018,3.8,2,circ.,1524,2298,5.8,0.69,0.069
\ref{app:Circinus},,Circinus,0.0014,4.2,2,ellip.,8327,14182,5.34,0.70,0.443
\ref{app:CygnusA},,Cygnus A,0.0561,257.0,2,circ.,57,,626,0.42,0.398
\ref{app:ESO005-G004},49,ESO 5-4,0.0062,22.4,2,?,29,69,34.9,0.38,0.047
\ref{app:ESO033-G002},,ESO 33-2,0.0181,82.3,2,o,174,,276,0.79,0.838
\ref{app:ESO103-G035},126,ESO 103-35,0.0133,59.5,2,o,484,,81,0.63,0.791
\ref{app:ESO121-G028},51,ESO 121-28,0.0405,187.0,2,-,15,,285,0.91,0.203
\ref{app:ESO138-G001},,ESO 138-1,0.0091,41.8,2,?,760,,61.8,0.96,1.573
\ref{app:ESO141-G055},,ESO 141-55,0.0371,169.0,1.2,o,149,,289,0.76,0.615
\ref{app:ESO198-G024},18,ESO 198-24,0.0455,208.0,1,-,33,,305,0.98,
\ref{app:ESO209-G012},,ESO 209-12,0.0405,189.0,1.5,?,164,,250,0.87,0.812
\ref{app:ESO253-G003},,ESO 253-3,0.0425,196.0,2,?,193,,364,0.78,0.738
\ref{app:ESO263-G013},,ESO 263-13,0.0335,158.0,2,-,56,,223,0.93,
