Object,D,F_nu(N-band),d_unr,Angular size
1H 0419-577,499.0,62,712.0,294.309703502821
1RXS J112716.6,512.0,41,802.0,323.09448166042466
2MASX J03565655,351.0,31,541.0,317.918120169963
2MASX J09180027,781.0,18,965.0,254.85984382640544
3C 29,202.0,3,371.0,378.83288672104567
3C 33,273.0,35,839.0,633.9053935574271
3C 78,127.0,12,241.0,391.41589216956925
3C 93,1967.0,3,2135.0,223.881729200563
3C 98,137.0,25,304.0,457.69708831453687
3C 105,421.0,10,593.0,290.5345133123703
3C 120,150.0,266,200.0,275.01974166275437
3C 135,620.0,11,881.0,293.0956359736473
3C 227,414.0,32,595.0,296.44338095894005
3C 264,103.0,4,191.0,382.4910484775156
3C 273,792.0,289,1095.0,285.17672075825067
3C 285,378.0,6,626.0,341.5919807160127
3C 293,211.0,5,373.0,364.6292546452459
3C 305,192.0,4,329.0,353.4433398712401
3C 317,160.0,3,310.0,399.6380621036241
3C 321,460.0,70,782.0,350.65017061997935
3C 327,505.0,71,1114.0,455.0079092260834
3C 353,138.0,8,292.0,436.4443726386207
3C 382,267.0,100,485.0,374.67577164724423
3C 390.3,259.0,144,433.0,344.8365293628259
3C 403,271.0,94,485.0,369.14550195503693
3C 424,613.0,2,982.0,330.4274710189319
3C 445,254.0,180,357.0,289.9076213787451
3C 449,72.4,12,242.0,689.4486617645143
3C 452,378.0,42,1039.0,566.9553801338576
3C 459,1125.0,16,1999.0,366.5096423891885
4C +73.08,271.0,22,421.0,320.4335181919192
Ark 120,149.0,247,200.0,276.8655117410273
Cen A,3.8,1524,5.8,314.8252305876122
Circinus,4.2,8327,5.34,262.25096794270144
Cygnus A,257.0,57,626.0,502.4193335043519
ESO 5-4,22.4,29,34.9,321.3679347331342
ESO 33-2,82.3,174,276.0,691.7264462229069
ESO 103-35,59.5,484,81.0,280.79746732793654
ESO 121-28,187.0,15,285.0,314.3608009647651
ESO 138-1,41.8,760,61.8,304.9561011021108
ESO 141-55,169.0,149,289.0,352.7250237005699
ESO 198-24,208.0,33,305.0,302.4556053141976
ESO 209-12,189.0,164,250.0,272.8370453003522
ESO 253-3,196.0,193,364.0,383.0632116016402
ESO 263-13,158.0,56,223.0,291.12058096895476
ESO 286-19,195.0,412,497.0,525.7108138705199
ESO 297-18,111.0,31,171.0,317.7592961103288
ESO 323-32,76.4,57,121.0,326.6759365954639
ESO 323-77,71.8,347,89.3,256.53826180868145
ESO 362-18,56.5,157,88.1,321.6270695639912
ESO 416-2,272.0,25,504.0,382.19655275186324
ESO 420-13,52.7,192,95.0,371.82460329162893
ESO 428-14,28.2,115,42.8,313.05438678631305
ESO 500-34,60.2,47,121.0,414.58540790515366
ESO 506-27,119.0,180,183.0,317.1971390185814
ESO 511-30,105.0,52,149.0,292.6995821982114
ESO 548-81,63.5,87,103.0,334.5712605267128
ESO 602-25,109.0,34,297.0,562.0242885811899
Fairall 9,215.0,280,246.0,236.00531319432636
Fairall 49,90.1,368,193.0,441.8324928487721
Fairall 51,64.1,391,188.0,604.9576220659332
Fornax A,19.0,17,36.2,392.98873611276997
H 0557-385,156.0,426,251.0,331.8747844103206
H1143-182,156.0,67,229.0,302.7861578883114
Hydra A,260.0,5,379.0,300.6706214139833
IC 883,109.0,222,318.0,601.7633796929368
IC 1459,30.3,17,44.0,299.5264513158628
IC 3639,53.6,386,84.6,325.55975015859565
IC 4329A,76.5,1158,114.0,307.37500538777294
IC 4518W,76.1,199,196.0,531.2470699659466
IC 5063,49.1,821,82.0,344.47482917022336
III Zw 35N,121.0,53,257.0,438.099629797387
IRAS 00188-0856,620.0,64,1485.0,494.0374794786961
IRAS 01003-2238,565.0,215,1287.0,469.84567369893483
IRAS 04103-2838,567.0,133,1398.0,508.568252439673
IRAS 05189-2524,196.0,651,359.0,377.8013542994229
IRAS 08572+3915,275.0,602,744.0,558.0400576281676
IRAS 09149-6206,269.0,465,331.0,253.80539356052145
IRAS 11095-0238,519.0,84,1081.0,429.61898950487574
IRAS 13349+2438,522.0,476,893.0,352.86297313910364
IRAS 15250+3609,258.0,217,620.0,495.67511578735724
I Zw 1,269.0,426,368.0,282.1763892153145
LEDA 13946,166.0,12,266.0,330.5207136247945
LEDA 170194,173.0,42,288.0,343.37724970606945
LEDA 178130,160.0,52,284.0,366.12003108849984
LEDA 549777,284.1,33,887.0,643.9876210525372
M51a,8.1,26,22.8,580.5972323988508
M81,3.6,137,7.69,440.6045444554355
M87,16.7,21,25.9,319.8957174729775
MCG-1-5-47,73.4,53,92.2,259.09557405967007
MCG-1-13-25,71.2,25,100.0,289.69776158295286
MCG-1-24-12,93.8,111,129.0,283.6690832182434
MCG-2-8-14,72.5,44,107.0,304.41840370255585
MCG-2-8-39,133.0,231,356.0,552.1073009317478
MCG-3-34-64,79.3,531,116.0,301.72405453542126
MCG-5-23-16,42.8,714,60.3,290.60205179200585
MCG-6-30-15,38.8,341,48.9,259.95744911035246
MR 2251-178,293.0,90,388.0,273.1424738015757
Mrk 3,60.6,448,137.0,466.3082253438971
Mrk 266NE,130.0,20,428.0,679.0872082590577
Mrk 266SW,128.0,6,421.0,678.4178392964786
Mrk 304,301.0,52,511.0,350.1704850240562
Mrk 509,153.0,256,269.0,362.64858091800403
Mrk 520,115.0,86,196.0,351.5469741254008
Mrk 573,73.1,212,193.0,544.5842353716343
Mrk 590,116.0,98,164.0,291.61576055619105
Mrk 841,170.0,163,236.0,286.3440839665112
Mrk 897,115.0,8,214.0,383.83190032057286
Mrk 915,104.0,85,276.0,547.3950627323574
Mrk 926,210.0,107,287.0,281.89523520432107
Mrk 937,129.0,15,175.0,279.816597621987
Mrk 1014,807.0,99,1187.0,303.39073731754553
Mrk 1018,191.0,53,267.0,288.3387605652657
Mrk 1239,95.4,574,142.0,307.01889399457303
NGC 34,83.5,58,158.0,390.297477689
NGC 235A,96.2,73,158.0,338.7717191999365
NGC 253,3.2,1039,5.57,359.02967837376144
NGC 424,49.5,736,80.4,335.0240489346041
NGC 454E,52.3,137,91.2,359.6816506640616
NGC 526A,82.8,236,130.0,323.8457102912683
NGC 612,132.0,33,270.0,421.90528550527716
NGC 613,26.6,28,47.6,369.1054427578634
NGC 676,19.5,17,28.8,304.6372523033484
NGC 788,57.2,134,88.2,318.05167676556454
NGC 985,195.0,180,322.0,340.6013723669227
NGC 1052,19.4,138,31.7,337.04094629028344
NGC 1068,14.4,10206,24.1,345.20707156624036
